packerid,casingtubingid,packerdepth,packertype,createddate,updateddate,deleteddate,entl_region,entl_country,entl_state,entl_county,entl_offshorecode,region,country,stateprovince,county,field,basinname,district
997008,7784721,8000.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,ELBERT,,NAM,US,CO,ELBERT,CALEDONIA,DENVER JULESBURG,
997007,7784187,8778.0,,2018-12-11 06:22:02.833,2019-02-28 07:25:20.333,,NAM,US,CO,GARFIELD,,NAM,US,CO,GARFIELD,GRAND VALLEY,PICEANCE,
997006,7784027,5165.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,ADAMS,,NAM,US,CO,ADAMS,SPINDLE,DENVER JULESBURG,
997005,7783798,2231.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,FREMONT,,NAM,US,CO,FREMONT,FLORENCE-CANON CITY,DENVER JULESBURG,
997004,7783611,5158.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,GARFIELD,,NAM,US,CO,GARFIELD,WILLOW CREEK,PICEANCE,
997003,7783299,4583.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,GOLDEN SPIKE,LAS ANIMAS ARCH,
997002,7783151,5508.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,WILDCAT,LAS ANIMAS ARCH,
997001,7783132,5894.0,,2018-12-11 06:22:02.833,2019-03-14 05:57:53.840,,NAM,US,CO,ADAMS,,NAM,US,CO,ADAMS,BEACON,DENVER JULESBURG,
997000,7783125,5315.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,UNNAMED,LAS ANIMAS ARCH,
996999,7782833,5146.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,ARAPAHOE,LAS ANIMAS ARCH,
996998,7782827,5483.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,CHEYENNE WELLS,LAS ANIMAS ARCH,
996997,7782789,4904.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,ARROWHEAD,LAS ANIMAS ARCH,
996996,7782744,5148.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,ARAPAHOE,LAS ANIMAS ARCH,
